path,label
data\raw\Positive\Unlabelled\84.jpg,positive
data\raw\Positive\Unlabelled\370.jpg,positive
data\raw\Positive\Unlabelled\285.jpg,positive
data\raw\Positive\Unlabelled\351.jpg,positive
data\raw\Negative\Clear\141.jpg,negative
data\raw\Positive\Unlabelled\197.jpg,positive
data\raw\Negative\Clear\112.jpg,negative
data\raw\Positive\Unlabelled\36.jpg,positive
data\raw\Positive\Unlabelled\254.jpg,positive
data\raw\Positive\Unlabelled\222.jpg,positive
data\raw\Positive\Unlabelled\398.jpg,positive
data\raw\Negative\Clear\51.jpg,negative
data\raw\Positive\Unlabelled\115.jpg,positive
data\raw\Positive\Unlabelled\73.jpg,positive
data\raw\Negative\Clear\26.jpg,negative
data\raw\Positive\Unlabelled\294.jpg,positive
data\raw\Negative\Clear\103.jpg,negative
data\raw\Positive\Unlabelled\229.jpg,positive
data\raw\Positive\Unlabelled\17.jpg,positive
data\raw\Positive\Unlabelled\377.jpg,positive
data\raw\Negative\Clear\52.jpg,negative
data\raw\Negative\Clear\77.jpg,negative
data\raw\Positive\Unlabelled\223.jpg,positive
data\raw\Positive\Unlabelled\78.jpg,positive
data\raw\Positive\Unlabelled\201.jpg,positive
data\raw\Positive\Unlabelled\163.jpg,positive
data\raw\Positive\Unlabelled\125.jpg,positive
data\raw\Positive\Unlabelled\414.jpg,positive
data\raw\Positive\Unlabelled\388.jpg,positive
data\raw\Positive\Unlabelled\368.jpg,positive
data\raw\Negative\Clear\73.jpg,negative
data\raw\Negative\Clear\89.jpg,negative
data\raw\Positive\Unlabelled\5.jpg,positive
data\raw\Positive\Unlabelled\148.jpg,positive
data\raw\Positive\Unlabelled\105.jpg,positive
data\raw\Positive\Unlabelled\348.jpg,positive
data\raw\Negative\Clear\3.jpg,negative
data\raw\Positive\Unlabelled\336.jpg,positive
data\raw\Positive\Unlabelled\168.jpg,positive
data\raw\Positive\Unlabelled\313.jpg,positive
data\raw\Positive\Unlabelled\161.jpg,positive
data\raw\Positive\Unlabelled\283.jpg,positive
data\raw\Positive\Unlabelled\31.jpg,positive
data\raw\Positive\Unlabelled\347.jpg,positive
data\raw\Positive\Unlabelled\225.jpg,positive
data\raw\Positive\Unlabelled\349.jpg,positive
data\raw\Negative\Clear\83.jpg,negative
data\raw\Positive\Unlabelled\280.jpg,positive
data\raw\Positive\Unlabelled\332.jpg,positive
data\raw\Positive\Unlabelled\6.jpg,positive
data\raw\Positive\Unlabelled\265.jpg,positive
data\raw\Positive\Unlabelled\178.jpg,positive
data\raw\Negative\Clear\113.jpg,negative
data\raw\Positive\Unlabelled\344.jpg,positive
data\raw\Positive\Unlabelled\200.jpg,positive
data\raw\Positive\Unlabelled\255.jpg,positive
data\raw\Positive\Unlabelled\120.jpg,positive
data\raw\Negative\Clear\95.jpg,negative
data\raw\Positive\Unlabelled\286.jpg,positive
data\raw\Positive\Unlabelled\143.jpg,positive
data\raw\Positive\Unlabelled\226.jpg,positive
data\raw\Positive\Unlabelled\358.jpg,positive
data\raw\Positive\Unlabelled\101.jpg,positive
data\raw\Positive\Unlabelled\305.jpg,positive
data\raw\Positive\Unlabelled\29.jpg,positive
data\raw\Positive\Unlabelled\151.jpg,positive
data\raw\Negative\Clear\96.jpg,negative
data\raw\Negative\Clear\44.jpg,negative
data\raw\Positive\Unlabelled\165.jpg,positive
data\raw\Positive\Unlabelled\127.jpg,positive
data\raw\Positive\Unlabelled\323.jpg,positive
data\raw\Positive\Unlabelled\205.jpg,positive
data\raw\Positive\Unlabelled\401.jpg,positive
data\raw\Positive\Unlabelled\69.jpg,positive
data\raw\Positive\Unlabelled\184.jpg,positive
data\raw\Negative\Clear\134.jpg,negative
data\raw\Negative\Clear\88.jpg,negative
data\raw\Positive\Unlabelled\144.jpg,positive
data\raw\Negative\Clear\29.jpg,negative
data\raw\Positive\Unlabelled\275.jpg,positive
data\raw\Positive\Unlabelled\39.jpg,positive
data\raw\Positive\Unlabelled\406.jpg,positive
data\raw\Positive\Unlabelled\240.jpg,positive
data\raw\Positive\Unlabelled\355.jpg,positive
data\raw\Positive\Unlabelled\271.jpg,positive
data\raw\Negative\Clear\31.jpg,negative
data\raw\Negative\Clear\145.jpg,negative
data\raw\Positive\Unlabelled\287.jpg,positive
data\raw\Negative\Clear\138.jpg,negative
data\raw\Positive\Unlabelled\181.jpg,positive
data\raw\Positive\Unlabelled\62.jpg,positive
data\raw\Positive\Unlabelled\408.jpg,positive
data\raw\Positive\Unlabelled\319.jpg,positive
data\raw\Positive\Unlabelled\97.jpg,positive
data\raw\Positive\Unlabelled\403.jpg,positive
data\raw\Positive\Unlabelled\59.jpg,positive
data\raw\Positive\Unlabelled\276.jpg,positive
data\raw\Positive\Unlabelled\41.jpg,positive
data\raw\Positive\Unlabelled\310.jpg,positive
data\raw\Negative\Clear\81.jpg,negative
data\raw\Positive\Unlabelled\303.jpg,positive
data\raw\Positive\Unlabelled\296.jpg,positive
data\raw\Positive\Unlabelled\232.jpg,positive
data\raw\Negative\Clear\64.jpg,negative
data\raw\Positive\Unlabelled\284.jpg,positive
data\raw\Negative\Clear\106.jpg,negative
data\raw\Negative\Clear\121.jpg,negative
data\raw\Positive\Unlabelled\140.jpg,positive
data\raw\Positive\Unlabelled\179.jpg,positive
data\raw\Positive\Unlabelled\416.jpg,positive
data\raw\Negative\Clear\22.jpg,negative
data\raw\Positive\Unlabelled\246.jpg,positive
data\raw\Negative\Clear\17.jpg,negative
data\raw\Positive\Unlabelled\249.jpg,positive
data\raw\Positive\Unlabelled\160.jpg,positive
data\raw\Negative\Clear\1.jpg,negative
data\raw\Positive\Unlabelled\208.jpg,positive
data\raw\Positive\Unlabelled\289.jpg,positive
data\raw\Positive\Unlabelled\37.jpg,positive
data\raw\Positive\Unlabelled\43.jpg,positive
data\raw\Positive\Unlabelled\49.jpg,positive
data\raw\Positive\Unlabelled\24.jpg,positive
data\raw\Positive\Unlabelled\288.jpg,positive
data\raw\Positive\Unlabelled\12.jpg,positive
data\raw\Positive\Unlabelled\395.jpg,positive
data\raw\Negative\Clear\61.jpg,negative
data\raw\Positive\Unlabelled\304.jpg,positive
data\raw\Positive\Unlabelled\378.jpg,positive
data\raw\Positive\Unlabelled\217.jpg,positive
data\raw\Positive\Unlabelled\263.jpg,positive
data\raw\Negative\Clear\125.jpg,negative
data\raw\Positive\Unlabelled\4.jpg,positive
data\raw\Positive\Unlabelled\157.jpg,positive
data\raw\Negative\Clear\139.jpg,negative
data\raw\Negative\Clear\47.jpg,negative
data\raw\Negative\Clear\9.jpg,negative
data\raw\Positive\Unlabelled\273.jpg,positive
data\raw\Positive\Unlabelled\343.jpg,positive
data\raw\Positive\Unlabelled\291.jpg,positive
data\raw\Positive\Unlabelled\134.jpg,positive
data\raw\Positive\Unlabelled\116.jpg,positive
data\raw\Positive\Unlabelled\293.jpg,positive
data\raw\Positive\Unlabelled\183.jpg,positive
data\raw\Positive\Unlabelled\238.jpg,positive
data\raw\Positive\Unlabelled\149.jpg,positive
data\raw\Positive\Unlabelled\87.jpg,positive
data\raw\Negative\Clear\43.jpg,negative
data\raw\Positive\Unlabelled\338.jpg,positive
data\raw\Positive\Unlabelled\409.jpg,positive
data\raw\Positive\Unlabelled\137.jpg,positive
data\raw\Positive\Unlabelled\169.jpg,positive
data\raw\Positive\Unlabelled\360.jpg,positive
data\raw\Negative\Clear\13.jpg,negative
data\raw\Negative\Clear\115.jpg,negative
data\raw\Positive\Unlabelled\70.jpg,positive
