category,file,cells,top_score
coco,0864.jpg,1,0.00031
coco,0394.jpg,11,0.10129
coco,0776.jpg,9,0.30306
coco,0911.jpg,16,0.58268
coco,0430.jpg,13,0.82035
coco,0041.jpg,30,0.83122
coco,0265.jpg,3,0.14254
coco,0988.jpg,21,0.71966
coco,0523.jpg,10,0.84012
coco,0497.jpg,22,0.82030
coco,0414.jpg,3,0.04226
coco,0940.jpg,8,0.07819
coco,0802.jpg,2,0.03657
coco,0849.jpg,8,0.49252
coco,0310.jpg,13,0.19839
coco,0991.jpg,1,0.00207
coco,0488.jpg,24,0.70577
coco,0366.jpg,16,0.40549
coco,0597.jpg,3,0.98515
coco,0913.jpg,4,0.02688
coco,0929.jpg,10,0.59432
coco,0223.jpg,3,0.06985
coco,0516.jpg,4,0.17543
coco,0142.jpg,7,0.37313
coco,0288.jpg,3,0.06724
coco,0143.jpg,4,0.98478
coco,0773.jpg,6,0.55068
coco,0097.jpg,7,0.08230
coco,0633.jpg,1,0.03541
coco,0818.jpg,4,0.02331
coco,0256.jpg,11,0.30065
coco,0931.jpg,0,0.00000
coco,0545.jpg,1,0.00012
coco,0722.jpg,15,0.99690
coco,0829.jpg,11,0.42819
coco,0616.jpg,18,0.91307
coco,0923.jpg,14,0.48976
coco,0150.jpg,1,0.00287
coco,0317.jpg,33,0.25066
coco,0101.jpg,5,0.00022
coco,0747.jpg,13,0.35443
coco,0075.jpg,5,0.92112
coco,0920.jpg,18,0.99074
coco,0870.jpg,2,0.00778
coco,0700.jpg,6,0.50497
coco,0338.jpg,25,0.28007
coco,0483.jpg,5,0.02893
coco,0573.jpg,7,0.02174
coco,0103.jpg,22,0.99040
coco,0362.jpg,19,0.98863
coco,0444.jpg,13,0.91635
coco,0323.jpg,16,0.04947
coco,0625.jpg,4,0.50487
coco,0655.jpg,4,0.99973
coco,0934.jpg,11,0.59551
coco,0209.jpg,0,0.00000
coco,0989.jpg,1,0.00100
coco,0565.jpg,9,0.02070
coco,0453.jpg,16,0.99136
coco,0886.jpg,0,0.00000
documents,0133.jpg,0,0.00000
documents,0066.jpg,0,0.00000
documents,0015.jpg,0,0.00000
documents,0140.jpg,0,0.00000
documents,0003.jpg,0,0.00000
documents,0023.jpg,0,0.00000
documents,0184.jpg,2,0.19407
documents,0102.jpg,0,0.00000
documents,0181.jpg,0,0.00000
documents,0171.jpg,1,0.08735
documents,0160.jpg,2,0.15685
documents,0000.jpg,1,0.20891
documents,0156.jpg,0,0.00000
documents,0126.jpg,0,0.00000
documents,0085.jpg,0,0.00000
documents,0062.jpg,0,0.00000
documents,0083.jpg,0,0.00000
documents,0180.jpg,0,0.00000
documents,0016.jpg,0,0.00000
documents,0048.jpg,0,0.00000
documents,0145.jpg,0,0.00000
documents,0056.jpg,1,0.87796
documents,0061.jpg,0,0.00000
documents,0036.jpg,0,0.00000
documents,0139.jpg,0,0.00000
documents,0114.jpg,0,0.00000
documents,0193.jpg,2,0.00018
documents,0020.jpg,0,0.00000
